DDT Code,DDT Name,IW Code,LOC Code,IW Code printed on Ticket,Coolant,,Oil Filter,,Air Filter,,Brake Fluid,,Spark Plug,,CLUTCH - BEARING,,CLUTCH - COVER ASSY,,CLUTCH - CYLINDER ASSY,,CLUTCH - DISC,,CLUTCH - SET,,Clutch Kit,,Brake Pad,,Brake Shoe,,BEARING -Wheel,,HEADLAMP,,TAIL LIGHT,, AIR DRYING SEALER,,MASKING TAPE,,SEALENT,,RUST SMASH,,Total Tickets
KA01,Nema Auto Spares,WKA0114979,RAJ,RAJ-WKA0114979,5,0114979CO-111840-5,11,0114979OF-111834-11,4,0114979AF-111834-4,0,-,11,0114979SP-111840-11,2,0114979CB-111828-2,0,-,0,-,0,-,2,0114979CS-111842-2,0,-,3,0114979BP-111828-3,2,0114979BS-111837-2,6,0114979WB-111840-6,2,0114979HL-111836-2,2,0114979TL-111829-2,1,0114979ADS-111840-1,1,0114979MT-111842-1,1,0114979SEA-111839-1,1,0114979RS-111834-1,15
KA01,Nema Auto Spares,WKA0128638,KOL,KOL-WKA0128638,5,0128638CO-111841-5,11,0128638OF-111835-11,4,0128638AF-111835-4,1,0128638BF-111824-1,11,0128638SP-111841-11,2,0128638CB-111829-2,0,-,1,0128638CYA-11188-1,0,-,2,0128638CS-111843-2,1,0128638CK-111821-1,3,0128638BP-111829-3,2,0128638BS-111838-2,6,0128638WB-111841-6,2,0128638HL-111837-2,2,0128638TL-111830-2,1,0128638ADS-111841-1,1,0128638MT-111843-1,1,0128638SEA-111840-1,1,0128638RS-111835-1,18
KA01,Nema Auto Spares,WKA0120092,KOL,KOL-WKA0120092,5,0120092CO-111842-5,11,0120092OF-111836-11,4,0120092AF-111836-4,0,-,11,0120092SP-111842-11,2,0120092CB-111830-2,2,0120092COA-111817-2,1,0120092CYA-11189-1,2,0120092CD-111815-2,2,0120092CS-111844-2,1,0120092CK-111822-1,3,0120092BP-111830-3,2,0120092BS-111839-2,6,0120092WB-111842-6,2,0120092HL-111838-2,2,0120092TL-111831-2,1,0120092ADS-111842-1,1,0120092MT-111844-1,1,0120092SEA-111841-1,0,-,18
KA01,Nema Auto Spares,WKA0100526,RAJ,RAJ-WKA0100526,5,0100526CO-111843-5,11,0100526OF-111837-11,0,-,0,-,11,0100526SP-111843-11,0,-,2,0100526COA-111818-2,1,0100526CYA-111810-1,2,0100526CD-111816-2,2,0100526CS-111845-2,0,-,3,0100526BP-111831-3,2,0100526BS-111840-2,6,0100526WB-111843-6,2,0100526HL-111839-2,2,0100526TL-111832-2,1,0100526ADS-111843-1,1,0100526MT-111845-1,1,0100526SEA-111842-1,0,-,15
KA01,Nema Auto Spares,WKA0119058,HLY,HLY-WKA0119058,5,0119058CO-111844-5,11,0119058OF-111838-11,4,0119058AF-111837-4,0,-,11,0119058SP-111844-11,2,0119058CB-111831-2,0,-,0,-,0,-,2,0119058CS-111846-2,0,-,3,0119058BP-111832-3,2,0119058BS-111841-2,6,0119058WB-111844-6,2,0119058HL-111840-2,2,0119058TL-111833-2,1,0119058ADS-111844-1,1,0119058MT-111846-1,1,0119058SEA-111843-1,0,-,14
KA01,Nema Auto Spares,WKA0122294,KOL,KOL-WKA0122294,5,0122294CO-111845-5,11,0122294OF-111839-11,4,0122294AF-111838-4,0,-,11,0122294SP-111845-11,2,0122294CB-111832-2,2,0122294COA-111819-2,1,0122294CYA-111811-1,2,0122294CD-111817-2,2,0122294CS-111847-2,1,0122294CK-111823-1,3,0122294BP-111833-3,2,0122294BS-111842-2,6,0122294WB-111845-6,2,0122294HL-111841-2,0,-,1,0122294ADS-111845-1,1,0122294MT-111847-1,1,0122294SEA-111844-1,0,-,17
KA01,Nema Auto Spares,WKA0165256,OMR,OMR-WKA0165256,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,0165256CS-111848-1,1,0165256CK-111824-1,0,-,0,-,0,-,0,-,0,-,1,0165256ADS-111846-1,1,0165256MT-111848-1,1,0165256SEA-111845-1,1,0165256RS-111836-1,6
KA01,Nema Auto Spares,WKA0120644,KOL,KOL-WKA0120644,0,-,4,0120644OF-111840-4,2,0120644AF-111839-2,0,-,4,0120644SP-111846-4,0,-,0,-,0,-,0,-,1,0120644CS-111849-1,1,0120644CK-111825-1,0,-,1,0120644BS-111843-1,2,0120644WB-111846-2,0,-,0,-,1,0120644ADS-111847-1,1,0120644MT-111849-1,1,0120644SEA-111846-1,0,-,10
KA01,Nema Auto Spares,WKA0111641,KOL,KOL-WKA0111641,1,0111641CO-111846-1,0,-,0,-,0,-,4,0111641SP-111847-4,0,-,0,-,0,-,0,-,1,0111641CS-111850-1,0,-,0,-,0,-,0,-,0,-,0,-,1,0111641ADS-111848-1,1,0111641MT-111850-1,1,0111641SEA-111847-1,1,0111641RS-111837-1,7
KA01,Nema Auto Spares,WKA0112804,RAJ,RAJ-WKA0112804,0,-,4,0112804OF-111841-4,2,0112804AF-111840-2,0,-,4,0112804SP-111848-4,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,2,0112804WB-111847-2,0,-,0,-,1,0112804ADS-111849-1,1,0112804MT-111851-1,1,0112804SEA-111848-1,1,0112804RS-111838-1,8
