DDT Code,DDT Name,IW Code
KA02,Essarr Automotives,WKA0264530
KA02,Essarr Automotives,WKA0295464
KA02,Essarr Automotives,WKA0271857
KA02,Essarr Automotives,WKA0206218
KA02,Essarr Automotives,WKA0207811
KA02,Essarr Automotives,WKA0209255
KA01,Nema Auto Spares,WKA0211073
KA02,Essarr Automotives,WKA0209164
KA02,Essarr Automotives,WKA0276646
KA02,Essarr Automotives,WKA0208952
KA02,Essarr Automotives,WKA0209179
KA02,Essarr Automotives,WKA0206817
KA02,Essarr Automotives,WKA0220301
KA02,Essarr Automotives,WKA0219903
KA02,Essarr Automotives,WKA0299024
KA02,Essarr Automotives,WKA0235027
KA02,Essarr Automotives,WKA0239329
KA02,Essarr Automotives,WKA0209171
KA02,Essarr Automotives,WKA0209180
KA02,Essarr Automotives,WKA0264250
KA02,Essarr Automotives,WKA0218571
KA02,Essarr Automotives,WKA0207637
KA02,Essarr Automotives,WKA0250062
KA02,Essarr Automotives,WKA0292883
KA02,Essarr Automotives,WKA0260918
KA02,Essarr Automotives,WKA020157351
KA02,Essarr Automotives,WKA0281985
KA02,Essarr Automotives,WKA0238390
KA02,Essarr Automotives,WKA0208912
KA02,Essarr Automotives,WKA0218561
KA02,Essarr Automotives,WKA0221172
KA02,Essarr Automotives,WKA0209283
KA02,Essarr Automotives,WKA0206821
KA02,Essarr Automotives,WKA020149385
KA02,Essarr Automotives,WKA0219920
KA02,Essarr Automotives,WKA020165458
KA02,Essarr Automotives,WKA0209753
KA02,Essarr Automotives,WKA0225134
KA02,Essarr Automotives,WKA020142330
KA02,Essarr Automotives,WKA0206691
KA02,Essarr Automotives,WKA0209729
KA02,Essarr Automotives,WKA0207610
KA02,Essarr Automotives,WKA020129484
KA02,Essarr Automotives,WKA0256658
KA02,Essarr Automotives,WKA0250058
KA02,Essarr Automotives,WKA0263152
KA02,Essarr Automotives,WKA0208913
KA02,Essarr Automotives,WKA0209781
KA02,Essarr Automotives,WKA020142688
KA02,Essarr Automotives,WKA0251492
KA02,Essarr Automotives,WKA0219863
KA02,Essarr Automotives,WKA0261953
KA02,Essarr Automotives,WKA0208965
KA02,Essarr Automotives,WKA0292784
KA02,Essarr Automotives,WKA0208955
KA02,Essarr Automotives,WKA0289423
KA02,Essarr Automotives,WKA020142309
KA02,Essarr Automotives,WKA0222830
KA02,Essarr Automotives,WKA0256671
KA02,Essarr Automotives,WKA0225947
KA02,Essarr Automotives,WKA0232629
KA02,Essarr Automotives,WKA0229222
KA02,Essarr Automotives,WKA020125085
KA02,Essarr Automotives,WKA0275067
KA02,Essarr Automotives,WKA0209176
KA02,Essarr Automotives,WKA0223513
KA02,Essarr Automotives,WKA0251572
KA02,Essarr Automotives,WKA0208756
KA02,Essarr Automotives,WKA0253853
KA02,Essarr Automotives,WKA0209126
KA02,Essarr Automotives,WKA0241374
KA02,Essarr Automotives,WKA0256320
KA02,Essarr Automotives,WKA0209745
KA02,Essarr Automotives,WKA0225013
KA02,Essarr Automotives,WKA0250065
KA02,Essarr Automotives,WKA0206706
KA02,Essarr Automotives,WKA020146711
KA02,Essarr Automotives,WKA0270216
KA02,Essarr Automotives,WKA0208942
KA02,Essarr Automotives,WKA0207813
KA02,Essarr Automotives,WKA0222832
KA02,Essarr Automotives,WKA0221904
KA02,Essarr Automotives,WKA0209189
KA02,Essarr Automotives,WKA0209292
KA02,Essarr Automotives,WKA0209746
KA02,Essarr Automotives,WKA0206816
KA02,Essarr Automotives,WKA0207111
KA02,Essarr Automotives,WKA0231404
KA02,Essarr Automotives,WKA0226620
KA02,Essarr Automotives,WKA0220107
KA02,Essarr Automotives,WKA0230824
KA02,Essarr Automotives,WKA0250059
KA02,Essarr Automotives,WKA0209775
KA02,Essarr Automotives,WKA0293772
KA02,Essarr Automotives,WKA0207032
KA02,Essarr Automotives,WKA0207020
KA02,Essarr Automotives,WKA020147272
KA02,Essarr Automotives,WKA0263033
KA02,Essarr Automotives,WKA0218423
KA02,Essarr Automotives,WKA0208927
KA02,Essarr Automotives,WKA0207076
KA02,Essarr Automotives,WKA0206858
KA02,Essarr Automotives,WKA0209291
KA02,Essarr Automotives,WKA0207590
KA02,Essarr Automotives,WKA0208903
KA02,Essarr Automotives,WKA0265575
KA02,Essarr Automotives,WKA0208924
KA02,Essarr Automotives,WKA0230599
KA02,Essarr Automotives,WKA0229522
KA02,Essarr Automotives,WKA020147368
KA02,Essarr Automotives,WKA0295889
KA02,Essarr Automotives,WKA0220238
KA02,Essarr Automotives,WKA0288084
KA02,Essarr Automotives,WKA0206827
KA02,Essarr Automotives,WKA0206818
KA02,Essarr Automotives,WKA0247673
KA02,Essarr Automotives,WKA0207509
KA02,Essarr Automotives,WKA0227154
KA02,Essarr Automotives,WKA0208899
KA02,Essarr Automotives,WKA0224926
KA02,Essarr Automotives,WKA0274926
KA02,Essarr Automotives,WKA0212503
KA02,Essarr Automotives,WKA0208379
KA02,Essarr Automotives,WKA0275827
KA02,Essarr Automotives,WKA0208940
KA02,Essarr Automotives,WKA0207105
KA02,Essarr Automotives,WKA0210837
KA02,Essarr Automotives,WKA0208746
KA02,Essarr Automotives,WKA0232619
KA02,Essarr Automotives,WKA0256319
KA02,Essarr Automotives,WKA0256597
KA02,Essarr Automotives,WKA0285226
KA02,Essarr Automotives,WKA0222202
KA02,Essarr Automotives,WKA0208173
KA02,Essarr Automotives,WKA0209735
KA02,Essarr Automotives,WKA0207021
KA02,Essarr Automotives,WKA0257176
KA02,Essarr Automotives,WKA0233952
KA02,Essarr Automotives,WKA0294265
KA02,Essarr Automotives,WKA0220096
KA02,Essarr Automotives,WKA0232554
KA02,Essarr Automotives,WKA0284444
KA02,Essarr Automotives,WKA0220328
KA02,Essarr Automotives,WKA0223470
KA02,Essarr Automotives,WKA020156724
KA02,Essarr Automotives,WKA0209256
KA02,Essarr Automotives,WKA020146515
KA02,Essarr Automotives,WKA020130604
KA02,Essarr Automotives,WKA0236507
KA02,Essarr Automotives,WKA0207116
KA02,Essarr Automotives,WKA0226001
KA02,Essarr Automotives,WKA0252817
KA02,Essarr Automotives,WKA0227194
KA02,Essarr Automotives,WKA0227797
KA02,Essarr Automotives,WKA0256785
KA02,Essarr Automotives,WKA020148814
KA02,Essarr Automotives,WKA020149232
KA02,Essarr Automotives,WKA0224045
KA02,Essarr Automotives,WKA0209779
KA02,Essarr Automotives,WKA0208951
KA02,Essarr Automotives,WKA0223732
KA02,Essarr Automotives,WKA0226345
KA02,Essarr Automotives,WKA0207558
